Observation,TermDays,strm,Headcount,HeadcountDiff,DummyData
1,-125,1158,16164,188,0
2,-124,1158,16326,162,0
3,-123,1158,16504,178,0
4,-122,1158,16677,173,0
5,-121,1158,16803,126,0
6,-120,1158,16894,91,0
7,,1158,16894,0,1
8,-118,1158,17063,169,0
9,-117,1158,17246,183,0
10,-116,1158,17388,142,0
11,-115,1158,17529,141,0
12,-114,1158,17635,106,0
13,-113,1158,17736,101,0
14,,1158,17736,0,1
15,-111,1158,17884,148,0
16,-110,1158,18005,121,0
17,-109,1158,18160,155,0
18,-108,1158,18319,159,0
19,-107,1158,18824,505,0
20,-106,1158,18944,120,0
21,-105,1158,18944,0,0
22,-104,1158,19098,154,0
23,-103,1158,19251,153,0
24,-102,1158,19372,121,0
25,-101,1158,19498,126,0
26,-100,1158,19611,113,0
27,-99,1158,19701,90,0
28,,1158,19701,0,1
29,-97,1158,19849,148,0
30,-96,1158,20008,159,0
31,,1158,20125,117,1
32,-94,1158,20241,116,0
33,-93,1158,20328,87,0
34,-92,1158,20397,69,0
35,,1158,20397,0,1
36,-90,1158,20455,58,0
37,-89,1158,20548,93,0
38,-88,1158,20642,94,0
39,-87,1158,20740,98,0
40,-86,1158,20790,50,0
41,-85,1158,20853,63,0
42,,1158,20853,0,1
43,-83,1158,20918,65,0
44,-82,1158,20984,66,0
45,-81,1158,21087,103,0
46,-80,1158,21161,74,0
47,-79,1158,21643,482,0
48,,1158,21745,102,1
49,,1158,21745,0,1
50,-76,1158,21847,102,0
51,-75,1158,21944,97,0
52,-74,1158,22033,89,0
53,,1158,22106,73,1
54,,1158,22174,68,1
55,,1158,22242,68,1
56,,1158,22242,0,1
57,,1158,22310,68,1
58,-68,1158,22379,69,0
59,-67,1158,22989,610,0
60,-66,1158,23053,64,0
61,-65,1158,23114,61,0
62,-64,1158,23172,58,0
63,,1158,23172,0,1
64,-62,1158,23254,82,0
65,-61,1158,23852,598,0
66,-60,1158,23932,80,0
67,-59,1158,23987,55,0
68,-58,1158,24568,581,0
69,-57,1158,24638,70,0
70,,1158,24638,0,1
71,-55,1158,24721,83,0
72,-54,1158,24836,115,0
73,-53,1158,24951,115,0
74,-52,1158,25059,108,0
75,-51,1158,25099,40,0
76,-50,1158,25158,59,0
77,,1158,25158,0,1
78,-48,1158,25252,94,0
79,-47,1158,25399,147,0
80,-46,1158,26046,647,0
81,-45,1158,26688,642,0
82,-44,1158,26816,128,0
83,-43,1158,26904,88,0
84,,1158,26904,0,1
85,-41,1158,27047,143,0
86,-40,1158,27679,632,0
87,-39,1158,27817,138,0
88,-38,1158,27924,107,0
89,-37,1158,28626,702,0
90,-36,1158,28705,79,0
91,,1158,28705,0,1
92,-34,1158,28849,144,0
93,-33,1158,29046,197,0
94,-32,1158,29199,153,0
95,-31,1158,29328,129,0
96,-30,1158,29907,579,0
97,-29,1158,30051,144,0
98,,1158,30051,0,1
99,-27,1158,30228,177,0
100,-26,1158,30383,155,0
101,-25,1158,31122,739,0
102,-24,1158,31284,162,0
103,-23,1158,31873,589,0
104,-22,1158,32034,161,0
105,,1158,32034,0,1
106,-20,1158,32242,208,0
107,-19,1158,32410,168,0
108,-18,1158,32569,159,0
109,-17,1158,32732,163,0
110,-16,1158,33320,588,0
111,-15,1158,33470,150,0
112,,1158,33470,0,1
113,-13,1158,33680,210,0
114,-12,1158,33876,196,0
115,-11,1158,34126,250,0
116,-10,1158,34546,420,0
117,-9,1158,34878,332,0
118,-8,1158,35020,142,0
119,,1158,35020,0,1
120,-6,1158,35185,165,0
121,-5,1158,35552,367,0
122,-4,1158,36345,793,0
123,-3,1158,35153,-1192,0
124,-2,1158,36253,1100,0
125,-1,1158,36544,291,0
126,1,1158,36954,410,0
127,-125,1168,18127,164,0
128,-124,1168,18299,172,0
129,-123,1168,18478,179,0
130,-122,1168,18627,149,0
131,-121,1168,18743,116,0
132,-120,1168,18836,93,0
133,,1168,18836,0,1
134,-118,1168,18963,127,0
135,-117,1168,19109,146,0
136,-116,1168,19233,124,0
137,-115,1168,19341,108,0
138,-114,1168,19874,533,0
139,-113,1168,19987,113,0
140,,1168,19987,0,1
141,-111,1168,20144,157,0
142,-110,1168,20307,163,0
143,-109,1168,20440,133,0
144,-108,1168,20590,150,0
145,-107,1168,20702,112,0
146,-106,1168,20817,115,0
147,,1168,20817,0,1
148,-104,1168,20989,172,0
149,-103,1168,21189,200,0
150,-102,1168,21349,160,0
151,-101,1168,21491,142,0
152,-100,1168,21572,81,0
153,-99,1168,21646,74,0
154,,1168,21646,0,1
155,-97,1168,21728,82,0
156,-96,1168,21826,98,0
157,-95,1168,21897,71,0
158,-94,1168,21965,68,0
159,-93,1168,22009,44,0
160,-92,1168,22052,43,0
161,,1168,22052,0,1
162,-90,1168,22094,42,0
163,-89,1168,22172,78,0
164,-88,1168,22264,92,0
165,-87,1168,22350,86,0
166,-86,1168,22814,464,0
167,-85,1168,22900,86,0
168,,1168,22900,0,1
169,-83,1168,22996,96,0
170,-82,1168,23071,75,0
171,-81,1168,23149,78,0
172,-80,1168,23220,71,0
173,-79,1168,23277,57,0
174,-78,1168,23328,51,0
175,,1168,23328,0,1
176,-76,1168,23397,69,0
177,-75,1168,24028,631,0
178,-74,1168,24090,62,0
179,-73,1168,24143,53,0
180,-72,1168,24778,635,0
181,-71,1168,24827,49,0
182,,1168,24827,0,1
183,-69,1168,24884,57,0
184,-68,1168,25489,605,0
185,-67,1168,25574,85,0
186,-66,1168,25653,79,0
187,-65,1168,26271,618,0
188,-64,1168,26324,53,0
189,,1168,26324,0,1
190,-62,1168,26427,103,0
191,-61,1168,26571,144,0
192,-60,1168,26657,86,0
193,-59,1168,27258,601,0
194,-58,1168,27325,67,0
195,-57,1168,27374,49,0
196,,1168,27374,0,1
197,-55,1168,27395,21,0
198,-54,1168,27490,95,0
199,-53,1168,27582,92,0
200,-52,1168,28097,515,0
201,-51,1168,28211,114,0
202,-50,1168,28318,107,0
203,,1168,28318,0,1
204,-48,1168,28447,129,0
205,-47,1168,28591,144,0
206,-46,1168,28698,107,0
207,-45,1168,29351,653,0
208,-44,1168,29439,88,0
209,-43,1168,29507,68,0
210,,1168,29507,0,1
211,-41,1168,29626,119,0
212,-40,1168,29763,137,0
213,-39,1168,29908,145,0
214,-38,1168,30016,108,0
215,-37,1168,30644,628,0
216,-36,1168,30762,118,0
217,,1168,30762,0,1
218,-34,1168,30933,171,0
219,-33,1168,31074,141,0
220,-32,1168,31791,717,0
221,-31,1168,31945,154,0
222,-30,1168,32542,597,0
223,-29,1168,32675,133,0
224,,1168,32675,0,1
225,-27,1168,32840,165,0
226,-26,1168,32993,153,0
227,-25,1168,33155,162,0
228,-24,1168,33306,151,0
229,-23,1168,33898,592,0
230,-22,1168,34027,129,0
231,,1168,34027,0,1
232,-20,1168,34239,212,0
233,-19,1168,34405,166,0
234,-18,1168,34561,156,0
235,-17,1168,34716,155,0
236,-16,1168,34832,116,0
237,-15,1168,34950,118,0
238,,1168,34950,0,1
239,-13,1168,35119,169,0
240,-12,1168,35710,591,0
241,-11,1168,35780,70,0
242,-10,1168,35651,-129,0
243,-9,1168,36392,741,0
244,-8,1168,36518,126,0
245,,1168,36518,0,1
246,-6,1168,36912,394,0
247,-5,1168,37222,310,0
248,-4,1168,37549,327,0
249,-3,1168,36717,-832,0
250,-2,1168,37418,701,0
251,-1,1168,37600,182,0
252,1,1168,37874,274,0
253,-125,1178,17805,191,0
254,-124,1178,17979,174,0
255,-123,1178,18142,163,0
256,-122,1178,18301,159,0
257,-121,1178,18424,123,0
258,-120,1178,18530,106,0
259,,1178,18530,0,1
260,-118,1178,18722,192,0
261,-117,1178,18919,197,0
262,-116,1178,19092,173,0
263,-115,1178,19243,151,0
264,-114,1178,19751,508,0
265,-113,1178,19886,135,0
266,,1178,19886,0,1
267,-111,1178,20052,166,0
268,-110,1178,20205,153,0
269,-109,1178,20368,163,0
270,-108,1178,20576,208,0
271,-107,1178,20691,115,0
272,-106,1178,20792,101,0
273,,1178,20792,0,1
274,-104,1178,20918,126,0
275,-103,1178,21100,182,0
276,-102,1178,21251,151,0
277,-101,1178,21385,134,0
278,-100,1178,21483,98,0
279,-99,1178,21559,76,0
280,,1178,21559,0,1
281,-97,1178,21652,93,0
282,-96,1178,21742,90,0
283,-95,1178,21833,91,0
284,-94,1178,21908,75,0
285,-93,1178,21959,51,0
286,-92,1178,22017,58,0
287,,1178,22017,0,1
288,-90,1178,22054,37,0
289,-89,1178,22143,89,0
290,-88,1178,22218,75,0
291,-87,1178,22313,95,0
292,-86,1178,22762,449,0
293,-85,1178,22864,102,0
294,,1178,22864,0,1
295,-83,1178,22994,130,0
296,-82,1178,23111,117,0
297,-81,1178,23193,82,0
298,-80,1178,23260,67,0
299,-79,1178,23308,48,0
300,-78,1178,23352,44,0
301,,1178,23352,0,1
302,-76,1178,23435,83,0
303,-75,1178,24097,662,0
304,-74,1178,24169,72,0
305,-73,1178,24230,61,0
306,-72,1178,24853,623,0
307,-71,1178,24905,52,0
308,,1178,24905,0,1
309,-69,1178,24965,60,0
310,-68,1178,25627,662,0
311,-67,1178,25686,59,0
312,-66,1178,25749,63,0
313,-65,1178,26364,615,0
314,-64,1178,26423,59,0
315,,1178,26423,0,1
316,-62,1178,26511,88,0
317,-61,1178,26592,81,0
318,-60,1178,27261,669,0
319,-59,1178,27342,81,0
320,-58,1178,27401,59,0
321,-57,1178,27470,69,0
322,,1178,27470,0,1
323,-55,1178,27531,61,0
324,-54,1178,27554,23,0
325,-53,1178,27656,102,0
326,-52,1178,28137,481,0
327,-51,1178,28248,111,0
328,-50,1178,28333,85,0
329,,1178,28333,0,1
330,-48,1178,28490,157,0
331,-47,1178,28633,143,0
332,-46,1178,28776,143,0
333,-45,1178,29514,738,0
334,-44,1178,29609,95,0
335,-43,1178,29684,75,0
336,,1178,29684,0,1
337,-41,1178,29783,99,0
338,-40,1178,29935,152,0
339,-39,1178,30062,127,0
340,-38,1178,30183,121,0
341,-37,1178,30746,563,0
342,-36,1178,30853,107,0
343,,1178,30853,0,1
344,-34,1178,31027,174,0
345,-33,1178,31172,145,0
346,-32,1178,31902,730,0
347,-31,1178,32016,114,0
348,-30,1178,32578,562,0
349,-29,1178,32734,156,0
350,,1178,32734,0,1
351,-27,1178,32909,175,0
352,-26,1178,33105,196,0
353,-25,1178,33230,125,0
354,-24,1178,33383,153,0
355,-23,1178,33853,470,0
356,-22,1178,33976,123,0
357,,1178,33976,0,1
358,-20,1178,34162,186,0
359,-19,1178,34285,123,0
360,-18,1178,34445,160,0
361,-17,1178,34802,357,0
362,-16,1178,34979,177,0
363,-15,1178,35108,129,0
364,,1178,35108,0,1
365,-13,1178,35284,176,0
366,-12,1178,35599,315,0
367,-11,1178,35626,27,0
368,-10,1178,35847,221,0
369,-9,1178,36455,608,0
370,-8,1178,36610,155,0
371,,1178,36610,0,1
372,-6,1178,36668,58,0
373,-5,1178,37081,413,0
374,-4,1178,37557,476,0
375,-3,1178,36537,-1020,0
376,-2,1178,37421,884,0
377,-1,1178,37635,214,0
378,1,1178,37915,280,0
379,-125,1188,17562,210,0
380,-124,1188,17740,178,0
381,-123,1188,17896,156,0
382,-122,1188,18060,164,0
383,-121,1188,18175,115,0
384,-120,1188,18281,106,0
385,,1188,18281,0,1
386,-118,1188,18452,171,0
387,-117,1188,18599,147,0
388,-116,1188,18747,148,0
389,-115,1188,18915,168,0
390,-114,1188,19437,522,0
391,-113,1188,19564,127,0
392,,1188,19564,0,1
393,-111,1188,19727,163,0
394,-110,1188,19901,174,0
395,-109,1188,20069,168,0
396,-108,1188,20226,157,0
397,-107,1188,20354,128,0
398,-106,1188,20458,104,0
399,,1188,20458,0,1
400,-104,1188,20625,167,0
401,-103,1188,20813,188,0
402,-102,1188,20979,166,0
403,-101,1188,21079,100,0
404,-100,1188,21163,84,0
405,-99,1188,21350,187,0
406,,1188,21350,0,1
407,-97,1188,21466,116,0
408,-96,1188,21568,102,0
409,-95,1188,21674,106,0
410,-94,1188,21749,75,0
411,-93,1188,21830,81,0
412,-92,1188,21876,46,0
413,,1188,21876,0,1
414,-90,1188,21910,34,0
415,-89,1188,22000,90,0
416,-88,1188,22088,88,0
417,-87,1188,22177,89,0
418,-86,1188,22625,448,0
419,-85,1188,22715,90,0
420,,1188,22715,0,1
421,-83,1188,22848,133,0
422,-82,1188,22947,99,0
423,-81,1188,23032,85,0
424,-80,1188,23117,85,0
425,-79,1188,23200,83,0
426,-78,1188,23255,55,0
427,,1188,23255,0,1
428,-76,1188,23340,85,0
429,-75,1188,23437,97,0
430,-74,1188,23564,127,0
431,-73,1188,24137,573,0
432,,1188,24462,325,1
433,-71,1188,24787,325,0
434,,1188,24787,0,1
435,-69,1188,24860,73,0
436,-68,1188,24944,84,0
437,-67,1188,25548,604,0
438,-66,1188,25632,84,0
439,-65,1188,25712,80,0
440,-64,1188,26304,592,0
441,,1188,26304,0,1
442,-62,1188,26405,101,0
443,-61,1188,26497,92,0
444,-60,1188,26564,67,0
445,-59,1188,27139,575,0
446,-58,1188,27649,510,0
447,-57,1188,27760,111,0
448,,1188,27760,0,1
449,-55,1188,27902,142,0
450,-54,1188,28004,102,0
451,-53,1188,28043,39,0
452,-52,1188,28142,99,0
453,-51,1188,28221,79,0
454,-50,1188,28306,85,0
455,,1188,28306,0,1
456,-48,1188,28450,144,0
457,-47,1188,28590,140,0
458,-46,1188,28942,352,0
459,-45,1188,29100,158,0
460,-44,1188,29491,391,0
461,-43,1188,29593,102,0
462,,1188,29593,0,1
463,-41,1188,29752,159,0
464,-40,1188,30061,309,0
465,-39,1188,30217,156,0
466,-38,1188,30341,124,0
467,-37,1188,30940,599,0
468,-36,1188,31073,133,0
469,,1188,31073,0,1
470,-34,1188,31237,164,0
471,-33,1188,31535,298,0
472,-32,1188,31704,169,0
473,-31,1188,32028,324,0
474,,1188,32277,249,1
475,-29,1188,32526,249,0
476,,1188,32526,0,1
477,-27,1188,32737,211,0
478,-26,1188,32931,194,0
479,-25,1188,33129,198,0
480,-24,1188,33295,166,0
481,-23,1188,33644,349,0
482,-22,1188,33751,107,0
483,,1188,33751,0,1
484,-20,1188,33953,202,0
485,-19,1188,34255,302,0
486,-18,1188,34639,384,0
487,-17,1188,34805,166,0
488,-16,1188,34941,136,0
489,-15,1188,35292,351,0
490,,1188,35292,0,1
491,-13,1188,35509,217,0
492,-12,1188,35925,416,0
493,-11,1188,36000,75,0
494,-10,1188,36183,183,0
495,-9,1188,36529,346,0
496,-8,1188,36703,174,0
497,,1188,36703,0,1
498,-6,1188,36398,-305,0
499,-5,1188,36937,539,0
500,-4,1188,37286,349,0
501,-3,1188,37098,-188,0
502,-2,1188,37578,480,0
503,-1,1188,37774,196,0
504,1,1188,38012,238,0
505,-125,1198,17982,201,0
506,-124,1198,18208,226,0
507,-123,1198,18371,163,0
508,-122,1198,18559,188,0
509,-121,1198,18662,103,0
510,-120,1198,18767,105,0
511,,1198,18767,0,1
512,-118,1198,18946,179,0
513,-117,1198,19098,152,0
514,-116,1198,19245,147,0
515,-115,1198,19411,166,0
516,-114,1198,19869,458,0
517,-113,1198,19994,125,0
518,,1198,19994,0,1
519,-111,1198,20166,172,0
520,-110,1198,20349,183,0
521,-109,1198,20512,163,0
522,-108,,,,1
523,-107,,,,1
524,-106,,,,1
525,,,,,1
526,-104,,,,1
527,-103,,,,1
528,-102,,,,1
529,-101,,,,1
530,-100,,,,1
531,-99,,,,1
532,,,,,1
533,-97,,,,1
534,-96,,,,1
535,-95,,,,1
536,-94,,,,1
537,-93,,,,1
538,-92,,,,1
539,,,,,1
540,-90,,,,1
541,-89,,,,1
542,-88,,,,1
543,-87,,,,1
544,-86,,,,1
545,-85,,,,1
546,,,,,1
547,-83,,,,1
548,-82,,,,1
549,-81,,,,1
550,-80,,,,1
551,-79,,,,1
552,-78,,,,1
553,,,,,1
554,-76,,,,1
555,-75,,,,1
556,-74,,,,1
557,-73,,,,1
558,-72,,,,1
559,-71,,,,1
560,,,,,1
561,-69,,,,1
562,-68,,,,1
563,-67,,,,1
564,-66,,,,1
565,-65,,,,1
566,-64,,,,1
567,,,,,1
568,-62,,,,1
569,-61,,,,1
570,-60,,,,1
571,-59,,,,1
572,-58,,,,1
573,-57,,,,1
574,,,,,1
575,-55,,,,1
576,-54,,,,1
577,-53,,,,1
578,-52,,,,1
579,-51,,,,1
580,-50,,,,1
581,,,,,1
582,-48,,,,1
583,-47,,,,1
584,-46,,,,1
585,-45,,,,1
586,-44,,,,1
587,-43,,,,1
588,,,,,1
589,-41,,,,1
590,-40,,,,1
591,-39,,,,1
592,-38,,,,1
593,-37,,,,1
594,-36,,,,1
595,,,,,1
596,-34,,,,1
597,-33,,,,1
598,-32,,,,1
599,-31,,,,1
600,-30,,,,1
601,-29,,,,1
602,,,,,1
603,-27,,,,1
604,-26,,,,1
605,-25,,,,1
606,-24,,,,1
607,-23,,,,1
608,-22,,,,1
609,,,,,1
610,-20,,,,1
611,-19,,,,1
612,-18,,,,1
613,-17,,,,1
614,-16,,,,1
615,-15,,,,1
616,,,,,1
617,-13,,,,1
618,-12,,,,1
619,-11,,,,1
620,-10,,,,1
621,-9,,,,1
622,-8,,,,1
623,,,,,1
624,-6,,,,1
625,-5,,,,1
626,-4,,,,1
627,-3,,,,1
628,-2,,,,1
629,-1,,,,1
630,1,,,,1
